gene_symbol,Hox_3,Hox_5,Hox_2,Hox_1,Hox_4,No_hox_3,No_hox_2,No_hox_5,No_hox_1,No_hox_4
su(Hw),6.103941530098531,6.132195803352566,6.16659247642258,6.139555529505483,6.1100399516857875,6.01746490619127,5.918833795825113,5.992685222745989,5.903997632271567,5.882492586404867
sstn,5.061589829459293,5.084086281126471,5.073369042452532,5.153179965978732,5.015858755410906,4.827460598021725,4.748522809021311,4.872587588293264,4.71727008458473,4.7799053633407524
ftz,6.744462071489158,6.782124545935875,6.779539617147916,6.812129568772401,6.7995313477199515,6.552995465257014,6.383738529680078,6.510363556974657,6.391725679156023,6.411128922906378
HLH54F,4.371080725133109,4.632587613041593,5.014035043692769,5.384475654826559,5.092468905821836,2.692322748831986,2.071177721320129,2.4434644163271617,2.268110589571336,2.257322994161889
Hand,4.679337508241893,4.455554805147799,4.37204782501714,4.397151433560007,4.063370867501884,2.0647043351779235,2.69923302367039,2.9189283557251122,2.0705147884582993,2.5634449405324924
CG10654,5.51194143096938,5.427415719752195,5.488699902163651,5.4002350664789915,5.429192793770068,5.092213564782069,5.141002316315048,5.181594921400278,4.987073067506783,5.076229086269661
en,6.321935798146208,6.338021358298823,6.291224692682122,6.343673988704817,6.3413382593741705,5.722183082133098,5.841342026975134,5.805601719845171,5.458949151817377,5.6285631569694985
Poxm,3.7470720189300644,4.039141206195818,3.8254460596268576,3.6805145476827414,4.043518934836262,2.5684196340715992,2.5752639202202054,2.9189283557251122,2.0705147884582993,2.5634449405324924
retn,4.752395007022208,4.681713658640448,4.676399146496926,4.819682956897826,4.648974769684883,3.895502649914388,3.8671426301767102,4.1323626219163945,3.0813002117614365,3.5618945280760164
pnr,4.2029745662672005,4.264835606171397,4.189347225245328,4.252116802893727,4.290928938119711,2.992133746714018,2.8095149878847305,3.534874589594033,2.268110589571336,3.1462802143002664
Poxn,4.711303559922235,4.926211731428071,4.792551124465383,4.7522631474539505,4.752829813592295,4.142288360923787,3.574332686122939,4.074494069151927,3.22887222256138,3.9578529244033183
so,4.623679520553957,4.609954410363714,4.660203499239576,4.727038934813245,4.545284346530632,3.7447350994165425,3.4167487583473055,3.632176811330217,4.063257256295838,4.190211679515271
sima,6.828682745162072,6.863483477441848,6.824907882015823,6.808312121260267,6.879684347816418,6.750502327847466,6.699865958472427,6.719026949306285,6.765169270421751,6.7309232463041555
E(spl)m8-HLH,7.8365475520197085,7.867505753188042,7.862011332713682,7.800419197371124,7.958003251867235,7.586422761416633,7.597315027978087,7.562604798341038,7.692690908518811,7.691657140226438
px,7.16880554995585,7.123013350054664,7.116993984420132,7.098901111646289,7.183153375748738,6.990981852969059,6.9904372662801455,6.97850393389051,7.028803280586711,7.045516012839737
chn,6.722951614733153,6.643151772918471,6.746308205502049,6.663860206713523,6.769132871066795,6.0979649750498455,5.977653829007163,6.218824901849981,6.325750026541781,6.1526248760537445
grh,7.122856682748792,7.068707547038465,7.088606359881084,7.074777198537626,7.11257018987864,6.548076388072201,6.5822367955904015,6.7584453561189815,6.798566124534556,6.701910735042496
E(spl)m7-HLH,8.13432910080122,8.175853819704752,8.163507837154071,8.109282246318365,8.193402051807881,7.50838438674071,7.511060706584546,7.525514430093678,7.719201584720062,7.637875747200515
aop,8.254546682700871,8.216127256558211,8.269118307614772,8.168417923955428,8.304581945791233,7.537221417652785,7.462487518428314,7.695388266064402,7.720739363679136,7.764000467801876
E(spl)m5-HLH,7.47211508146612,7.464870872029839,7.4873721369345905,7.425073676739028,7.6024490930575865,6.659929607718246,6.781782170245212,6.89690519301269,6.889020762980283,6.940252304400508
sob,4.806272806712706,4.713172842348423,4.733635204477808,4.716768358583744,4.7176943085772045,3.7447350994165425,4.06400279209027,4.263886384861371,4.368816861981071,4.288851899098581
luna,7.225546842224496,7.198023764338885,7.267021936999597,7.243352803315275,7.275153225847421,6.850090632335921,6.999967548998735,7.023199065199373,7.051563353957505,6.958312693196757
wnd,5.282725486437703,5.13275107944481,5.235848903328025,5.233291257352879,5.211519635259185,4.7560844444295505,4.888460693117649,4.831525708673115,5.088195000330341,4.8082421784108575
hth,9.343537987980762,9.340135230705291,9.345098844730643,9.351460222962912,9.34568434556928,9.21978273884494,9.241241206310276,9.270893655902883,9.302237987688422,9.267505015066162
ttk,6.683610677066307,6.66537920652819,6.68139743253716,6.661648196114808,6.600734519572677,6.1246758481008445,6.176263673963861,6.276454151251528,6.450884979996193,6.298109860785058
rib,7.497327476806517,7.499192452283031,7.544034071558862,7.505044062887386,7.510437048717972,6.788050125047458,6.951381043225698,6.950359676456365,7.168916691063363,6.906555501888527
Top1,7.017324531921788,6.999810447500547,7.033865416307503,7.010229976769748,7.0060055365311715,6.732212151536815,6.810849655083965,6.813842471922765,6.9439629135699255,6.82816561376009
psq,7.657432258437636,7.632216869319155,7.646079675899621,7.640846299607347,7.670304456248011,7.427836725133457,7.484150930993437,7.468165437582058,7.570113729325534,7.489697745935461
fd96Ca,4.801493028119554,4.81608426159838,4.763526987437343,4.771994195929077,4.514465108185298,4.114571279717141,4.002590215672684,4.044253544837648,4.27696140457631,4.080765998059487
CG12744,6.756064593599263,6.8372982171816865,6.736802036801459,6.844002630602218,6.692027300198111,6.190253731253125,6.2323052862244745,6.116008793512125,6.350247749705067,6.269361628210304
odd,5.616898039091008,5.528283646795764,5.6845019407821455,5.701677535891814,5.638828991938399,4.841144231562782,4.861996020155243,4.7439689241698755,5.010444817122025,4.5730979077962335
pnt,6.593591379044616,6.605749657560054,6.626558279156544,6.582572785296954,6.6230217195392065,6.000556985247391,5.999386553115466,5.934128588905658,6.092932130436679,5.848522635065822
l(3)neo38,8.80781380088872,8.809871411513178,8.816314100897866,8.802626158001368,8.800460697839027,8.672985626192332,8.66076633132284,8.631611453867489,8.704647969108105,8.631007388687445
Dr,6.070835355444834,6.070379310275451,6.128468684503354,6.116905438046774,6.069892075641272,5.887866414311141,5.784354477448743,5.767977179106588,5.830462951180238,5.616185557652654
crol,7.619243766800894,7.60481587531219,7.630011686553465,7.635285683095271,7.605868144140255,7.446082055921778,7.429086201682131,7.40306456567052,7.4314110844424555,7.3326072747983355
sv,4.385709946948968,4.3792555235872195,4.223615047203196,4.472409480070686,4.408930114335161,3.0749546684584397,2.5752639202202054,3.009318130529421,3.5237775720753124,2.987016041052898
slp1,7.302296798003109,7.264583612116382,7.299802188780645,7.345625181285417,7.370616393839822,7.011356142051679,6.9227632640892445,6.955384217372802,7.011777042593611,6.943560365615311
CG7903,6.557835998140723,6.529829595280018,6.523120558354325,6.56239832825888,6.563524581871784,6.399491132721596,6.341888523937815,6.324684042741732,6.38298123821764,6.3351987310228495
sd,7.5881385528470195,7.578702754233192,7.557936872859466,7.565729720418455,7.58633711007225,7.467939087464567,7.481224319072451,7.439753591862835,7.5197403445629405,7.435661569285412
CG17124,5.98806414129323,6.019976334943746,5.895163543854329,5.9541767353949675,5.88935265625217,5.3183529161951535,5.43732833580105,5.238988103164804,5.682716076498872,5.3045220080341595
sens,5.778977482900653,5.676628324539571,5.668745488274763,5.652283097069409,5.567181592428848,3.659870678881008,4.369565830351203,3.762395406889948,4.492488750321558,3.7394740261331085
CrebA,6.927159390721366,6.917305847622776,6.9247093474459485,6.979551633259714,6.832120806830515,6.3066326383234745,6.557938801453398,6.340257250102924,6.598143259095165,6.359181825605714
cdi,7.193643667525513,7.201030330727036,7.179818521323355,7.196473826877916,7.238459247056844,6.953885679815849,7.0062709828827385,6.952037330104965,7.01800199477775,6.931933955448468
mirr,7.363274682302524,7.350160575882235,7.357182067262437,7.386853349716987,7.434733117243553,6.915360188139074,7.070163570772567,6.976870135419385,7.013336917222471,7.002864604357173
caup,5.915273339008026,5.906156688329057,5.9278645651179716,5.993815955843217,5.953718114386337,4.980466790598021,5.209604990258384,5.055868110451977,5.199333687607073,5.021321083782462
gsb-n,6.271453390166,6.207931387307686,6.165385095321109,6.204581286653015,6.182264736411976,5.987685753555385,5.968826744732502,6.064424531558328,5.972493385513944,5.999435360494501
Wnt4,7.159783129535841,7.086177452108808,7.037912491263365,7.112160559459239,7.051588836291964,6.7114895063132165,6.812757772749345,6.836675785646323,6.786905936503858,6.8962209930889635
btn,4.140012687256771,4.852661598355954,4.963091374503069,4.404231973724191,4.443121673827438,2.992133746714018,2.69923302367039,3.0922105947061387,2.4330303489376934,3.0698154169676224
D1,9.336059102047622,9.353977851670617,9.336062595636946,9.340930751442151,9.347081499154767,9.295270689907339,9.294905161001656,9.293074852534463,9.295738361504364,9.317013955329726
vvl,8.21983284022058,8.23825906123553,8.285056090634683,8.189462019379063,8.232916048144883,7.893644772852059,7.890078033133127,7.8610224416537,7.878879719202903,8.03655981945379
dmrt11E,5.273802568294243,5.359458177004842,5.439997556332772,5.360360846910674,5.515629465854986,3.1514378390841693,2.999173599647834,2.4434644163271617,3.4160150900390525,3.404372211906534
Reph,4.220258824059582,4.1805674833475335,4.256747388559663,4.201572389670604,4.242823149720807,3.614575429137831,3.524513784657227,3.427073954707426,3.7096912952555137,3.817686860574347
cato,6.706687818076143,6.677034867618526,6.563681008175349,6.460359353019699,6.539028545516995,4.663111156057991,4.412512212753506,3.802287848185831,4.65332735589305,5.076229086269661
gsb,7.804960179563192,7.737138721071062,7.7750752250660975,7.733462613991629,7.782210630406974,7.515906180219046,7.347633867674998,7.302033274613262,7.36018598687211,7.501109223259834
nau,5.584582621057723,5.594571245076649,5.493442180508957,5.504100521026335,5.5383706822392,3.3510216151800094,2.908833869608894,2.4434644163271617,2.268110589571336,2.987016041052898
mid,5.883307189060308,5.864599841844161,5.8580768143733515,5.823152344851796,5.912818761625012,5.437464543179767,5.467053317455161,5.257409795314908,5.366274059849026,5.439557269635682
Stat92E,6.097407396461363,6.0717069102533445,6.130972632643865,6.037470550546345,6.032189823119378,5.583474591356077,5.712530896829744,5.717424701464046,5.706030240847589,5.744578514852209
bnl,6.426278203143935,6.406760807270862,6.468430774742684,6.443058399392717,6.37208704993307,5.383638987139611,5.495920171057246,5.682245050178556,5.530114415574832,5.7054857968293975
ab,6.893429676763005,6.868878400804809,6.904145877694999,6.871306295985756,6.8228284941945505,5.1831107369135685,5.495920171057246,5.425066428547413,5.2551220048407705,5.590961040021716
twi,5.076257413200036,4.971073448075561,4.955018318478816,4.819682956897826,5.012060068359956,2.262149330787718,2.268790671242551,2.8195489747008717,2.4330303489376934,2.257322994161889
tsh,7.6811183385685995,7.676635447217258,7.69357683780634,7.678928185988648,7.713877522916026,6.399491132721596,6.4210909456191025,6.4089264450236385,6.316406413955466,6.3351987310228495
Mef2,6.194775667394998,6.311236039990652,6.340078820835355,6.2926867383807235,6.3352760988047,4.086064008120756,4.002590215672684,4.013069937788423,4.033022732285295,3.779344904467525
mael,5.046703901145704,5.051502921807674,5.091211429008122,5.036535943588383,5.202122517318302,4.46633429752262,4.369565830351203,4.401811747291923,4.452940158452337,4.49978392199537
Kah,4.3335430381224676,4.280869421067268,4.189347225245328,4.284447356679391,4.033443198298211,2.262149330787718,2.071177721320129,2.0805123900168216,2.4330303489376934,2.4220523438850186
lolal,9.77902028373626,9.785325507391644,9.77670767043665,9.789018040337323,9.781852403466335,9.642787632701486,9.612884790225934,9.622978068742336,9.629135088646597,9.635499111736214
jeb,5.639949461508181,5.636441219313873,5.6527367901739085,5.658340873252295,5.63270963557326,3.7447350994165425,3.524513784657227,3.4824261914350854,3.621048714815273,3.9578529244033183
E(spl)m3-HLH,6.234421061071106,6.406760807270862,6.258745131774098,6.231042947239108,6.340330447911358,5.495628437998677,5.503008535715914,5.645782522769697,5.509291506161982,5.664802445215501
fd96Cb,6.523327037282948,6.560404449317965,6.478197873380608,6.440299098869397,6.339321619739864,5.543886662450222,5.597305675643728,5.5752724597669845,5.502253054661632,5.584554223208609
His2Av,11.30722198812966,11.301278591894835,11.292498043444208,11.29802598482397,11.296969280906087,11.211747589001195,11.210774317053305,11.213773552382287,11.188085090990695,11.219687736043927
lmd,5.700243166033276,5.856406285617294,5.686454155097919,5.587438392147899,5.636793364374741,3.222484662364639,3.2959519310219205,3.584708699187571,2.6985254881046408,3.404372211906534
corto,7.444547670814002,7.370638565155957,7.400616611828897,7.375711104090917,7.389510108251789,7.2405068772535515,7.256510736788403,7.264727671066433,7.225958195745525,7.27739446330467
ato,5.351379729240535,5.115641381184069,5.146257500033974,4.8607409839294595,5.274937266919269,3.4649027673028403,3.902762921765935,3.4824261914350854,3.2952214603253873,3.9246099175018476
ara,3.5830516109807378,4.117047764946252,3.569603096787573,3.665858567079537,3.7140364754591606,3.222484662364639,3.2296007654135983,3.2398542239362698,3.357441055026727,3.609332111369408
CG34417,2.538531145211327,3.1538477946829078,2.694694727106193,3.080817201336015,2.898726722399746,2.0647043351779235,1.496735158293381,2.2783655759236137,2.0705147884582993,2.5634449405324924
BigH1,3.2829516928863733,3.224901997576074,3.1781232529060572,3.396379807757007,2.8667231382543985,2.4269641276405287,1.0055976416144685,2.0805123900168216,1.0051166410315626,2.687299805156586
Hr39,4.956522777294489,4.879242525553576,5.021647197288378,4.8652006431248145,4.8333469749352975,4.613168306950972,4.4333129925377825,4.759104508332652,4.6197543654058855,4.750742097281316
zfh1,6.346763415467699,6.511196658142788,6.503499356698071,6.432903523166258,6.447328225647307,6.476540922747577,6.204677011519269,6.318386212295631,6.261744009460912,6.307511834625324
CG31109,6.925442372181422,6.977000680045684,6.948177533322697,6.973085162374884,6.991915277724675,6.910223904212865,6.8353756300293425,6.842303571511714,6.865808638714934,6.951782956291595
CG43759,6.512131750839112,6.52478221946179,6.468430774742684,6.501046549529937,6.531561175228486,6.427695291445005,6.278890815445421,6.266522620773436,6.385904556239148,6.4415950807689075
Met,5.466174030009362,5.519103776217727,5.5620030129761755,5.497028901772511,5.527064718019463,5.414750256523545,5.282645564047879,5.377653223479959,5.374333595947219,5.432099239516016
HnRNP-K,8.535812368826102,8.544586731115064,8.523809162084978,8.527295701373548,8.538115791927204,8.519206985507859,8.47733752588757,8.498060894636522,8.49019657530813,8.49789416073579
eve,5.2058154005483885,5.192029827478304,5.182417224388748,5.12954879864248,5.251249942615569,4.956536806797196,4.25336363632415,4.335225109320265,4.567181952925934,4.624758476232373
bap,4.310324896136541,4.913619170989531,4.934545852813327,4.432063196006171,4.501866450252475,3.222484662364639,2.071177721320129,2.0805123900168216,2.908116683460598,2.4220523438850186
Imp,10.411359452380838,10.418983891205901,10.42399455092153,10.407508558273628,10.422174695287772,10.395979738217823,10.356678542185517,10.372188249836448,10.37696241015236,10.372660133515634
