gene_symbol,Hox_5,Hox_7,Hox_3,Hox_2,Hox_6,Hox_4,Hox_8,Hox_1,Hox_9,Hox_10,No_hox_9,No_hox_6,No_hox_7,No_hox_2,No_hox_3,No_hox_5,No_hox_1,No_hox_10,No_hox_4,No_hox_8
CG43658,6.737998424159834,6.770317514550665,6.739266413978568,6.799114641704917,6.74388009742442,6.663880980917634,6.703676363930015,6.647631123126603,6.680602416489558,6.677115432925612,6.353974636709145,6.333204980959164,6.3625434225078985,6.265732103966859,6.19504668528108,6.284442354731286,6.321321107538631,6.244431065681297,6.2637525017185,6.2667533474467625
phu,4.183119287714512,4.524483247503445,4.425039598066075,4.470434185975129,4.336527571096385,4.535938651049506,4.410658132577049,4.161951470489195,4.389249204387974,4.225265121878583,3.2843382079816315,3.258595115843803,3.2983677831785143,3.270803058613598,2.582703007183663,3.1764226635873296,3.5255183993621197,2.879301380243175,3.1471366240876777,3.346438467641837
CG44838,5.649222655100977,5.670707191280388,5.702999638950543,5.677746818321668,5.709121259739215,5.726012352010324,5.602526905122198,5.634350525576524,5.676129335660418,5.694725581654339,5.338706959995374,5.344443917218629,5.328223588936716,5.388429082474062,5.128506710035762,5.318686066444807,5.274831762163207,5.294618629886949,5.3712344615752485,5.39458711464944
meso18E,4.322420994966496,4.524483247503445,4.534644897534102,4.535092483723061,4.484451966806161,4.318607966327204,4.345047224304064,4.197439852064543,4.321660470494616,4.322333492676699,2.7981826737390336,3.320728098042987,2.811872701835794,2.6748831796801067,2.582703007183663,2.5925310664368366,2.5762202516613,3.199593712929335,2.2581242836773248,2.7980912473700217
CG31313,5.530864740592884,5.373583612669139,5.290635927236855,5.295685003104266,5.263135795849991,5.257962842998611,5.319633866223394,5.029809897371738,5.292195921019969,5.23063103321665,4.573826466963603,4.739632140305481,4.393747163749887,4.343772072363763,4.481618089095788,4.472151463274243,4.229430303649036,4.481527193451188,4.481468435152693,4.481215249832379
mael,4.44466914584945,4.238339719103251,4.286391698065742,4.443353004248567,4.444372649081795,4.394001170412786,4.472228024250261,4.450254768696491,4.4318968707046364,4.438641119948372,3.925331541653583,3.4868578368251013,3.7544207714651328,3.7663217597233123,3.759832406572313,3.8101131068390917,3.711441088232122,3.6366391501372735,3.818562084799556,3.779969120495141
drongo,5.941089621419628,5.88521531554931,5.931158626328801,5.9397823887685055,5.962689396179964,5.937704452244432,5.971094187032436,5.973645127779907,5.835220871497798,5.905393772825024,5.525700424571647,5.421051221312506,5.31121281902097,5.388429082474062,5.325268353681647,5.448352708237005,5.559007272427419,5.367765384912279,5.484064981085192,5.46223941194457
hbs,4.49740501892141,4.54906319070654,4.339734737909872,4.503285830775549,4.560091330202331,4.548462235776468,4.5176250757397325,4.559179906015303,4.290089445163047,4.596977672802102,3.0705174072606383,3.192344364675497,3.2320102516938927,3.1335276629677447,3.4798829081964224,2.8270767034685633,2.434666718994895,3.1286176595400272,2.6881338046419536,2.7980912473700217
CG14687,5.213610688761333,5.432995389569477,5.31050842301492,5.454959230318917,5.507262554307842,5.6358071437499655,5.551991300347265,5.428012906435213,5.464800885620395,5.186139887440388,3.218017860061118,3.1213910622462957,3.712878639615523,3.5489457964622106,3.6749358502180756,3.099851812655767,2.810487769568667,3.1286176595400272,2.798331730757024,3.740097648926004
E(spl)m5-HLH,6.867873696314716,6.8084298526114235,6.769777671058465,6.88271939980347,6.885181472107829,6.691995563525203,6.921144381528968,6.651384247949077,6.721609191887238,6.819413913002668,6.43959844948264,6.062750926351143,6.297520217602521,6.083148712487498,6.061806608503185,6.14693414007311,6.058872233118495,6.046724182569583,6.041899576845519,6.061799255167877
E(spl)m7-HLH,7.515690233794069,7.5000729643183295,7.482411193696253,7.524055956710408,7.484841777787794,7.4536196310028675,7.4916589576523585,7.375976676143917,7.35943423947352,7.485961750951482,7.074191078232276,6.785351995051921,7.015041317991667,6.811137203375488,6.969331097461363,6.883415920576967,6.927206964367455,6.791015732903596,6.7816198426207155,6.745757889432404
rst,5.6987147233890925,5.66077154168965,5.603267270733854,5.624424154100838,5.637337737912571,5.625262988979425,5.6984754715855575,5.628116412378468,5.545660875184616,5.538527832825045,4.794904205743647,4.564861307413109,4.837300612460479,4.707492709334101,4.645405005662882,4.736533459860642,4.638458055143972,4.67144041659822,4.537997941105664,4.441671834990441
CG5888,6.812363311250702,6.8229024088538655,6.802551536386621,6.828609383808554,6.7997188226953895,6.826283511654598,6.865761903082902,6.863873587558119,6.8466720750948085,6.853723210515411,6.5844906716727465,6.393550833360399,6.507411256197367,6.449874830294758,6.45143919919224,6.489257398278687,6.482321496522499,6.4762809238029675,6.4007094796771336,6.4664873266342475
Ndg,4.818654678000645,4.877276459826473,4.465109801607052,4.77350512335344,4.843631864747942,4.730056741455933,4.664757377260556,4.496551748244506,4.730463528179258,4.360153402275637,2.4227231975571915,3.045016268357781,2.811872701835794,3.1335276629677447,2.9164461775004784,2.7166646376127206,2.434666718994895,2.0439092881688388,2.5642709120345955,2.2578949756482216
sing,5.994220258189584,6.076342002920677,5.940184539007748,5.99508529802998,6.11219558313839,5.962219209992669,6.125938771280115,6.066574899256051,6.099671187119449,5.851741667527302,3.460395959514602,3.672577672289281,3.2983677831785143,3.6416384683762497,3.838082150700483,3.7286553568775935,3.2305949232346767,3.1286176595400272,3.6554926606204723,2.8973405027750667
twi,4.4647724063700105,4.325528800599632,4.1161407058445265,4.1953919337227905,4.281921695981547,4.228531311872601,4.1176025871748365,4.509395096402859,4.282038453621704,4.298935368592963,1.814541782579526,1.4667359509356888,1.8267539989788295,1.476515168902923,2.2760106989977658,1.5112612373777021,1.825517748089192,0.985885154973656,2.2581242836773248,2.0605581420357564
dmrt11E,4.689593594232641,4.7615364843379995,4.6767215613085,4.816945507236355,4.752757263277429,4.709080703252146,4.504863413000899,4.741779894406432,4.72008509116502,4.707758497396048,2.9877150818113423,2.0373328257807772,2.577581791130957,2.048380000848228,3.0068236936031605,2.2855517656074413,2.434666718994895,2.0439092881688388,2.5642709120345955,2.2578949756482216
how,6.465623648157474,6.553531111317435,6.515239707696983,6.447089949370256,6.48996893539143,6.509192497832014,6.464142710098887,6.411187148998357,6.439248531696358,6.453371955472226,6.14237372095788,5.994478650349819,6.072435578612129,6.086993508752799,6.037070446606107,6.051837940649689,6.0425170512749755,6.1008760865937814,6.050010455462132,6.134885116427951
