gene_names,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
CG11617,2.9573723143176807,3.378352643623435,3.397461028402942,3.2905373499632997,3.1905792734161054,3.0095394377109193,2.896729798876181,3.329124052914453,2.9172465627921738,3.3148070123834223,2.68107696056963,2.2133050362504116,2.5101692562773663,1.6175001506140987,2.765108963262352,2.4381887222178618,2.504706847493824,2.0506431578733815,3.103472669807077,2.6132582912154954
chn,5.931966591416739,5.866488750002853,5.907999730667959,5.776322275912038,5.822288174583536,5.972254763867068,5.903791971650348,5.944128093118089,5.881733626972668,5.910901854268449,5.7702535621735,5.731746150319667,5.788864684816907,5.5434175766827565,5.648039421147404,5.703566352855215,5.688625590091988,5.685252778640822,5.768719577556758,5.765796118552546
pnr,4.968321575729222,4.68624679260555,4.899004579735872,4.936048064871369,4.706451855315234,4.83694213778762,4.9199323832487005,4.978897470244753,5.149325933181619,5.364076338943887,4.9995210999409005,4.2805000457818005,4.564128464796451,3.941696880586228,4.234488729966898,4.509645547036452,4.534401697746021,4.754790142430139,4.6313060621342075,4.341993348712648
HLH4C,5.654796472007197,5.383067637478125,5.618359385464495,5.475990980884184,5.273960684538552,5.749177054488531,5.517185608169034,5.692346150452947,5.825107187332354,5.414171615685465,5.3557016598201,4.727441291677388,4.884023523944041,4.789106993952961,5.166599158485478,5.296281771451868,5.399534688113856,5.238479941656231,4.780764137139147,5.157868281175446
NfI,3.9958757671857272,4.100032150801736,4.111416689847248,3.919275050068499,3.980519724217119,3.9788261872168613,3.865325530957595,4.045643027025284,3.9096834963426,4.070838392511587,3.6772022002935425,3.313245763700779,3.4861399480314916,3.506271647001125,3.670329409929246,3.84993537122184,3.964688758449033,3.251689979009724,3.2959475011596244,3.269069406462911
TC003191,5.886149042402176,5.949541799060437,5.760210612421644,5.644065773093861,5.76235567761457,5.777338787001175,5.650911655984181,5.843103790878808,5.826430411766614,5.572041830267659,5.31195070066313,4.9807918326547815,5.405454842323153,5.443745941792263,5.412590047014107,5.495087642514056,5.496279952436488,5.481925958924626,5.307931872218726,5.2052286686521345
E5,5.9487698344845885,5.854960866624047,5.991507389755904,5.97642915868616,6.06706100893917,6.003745264182604,5.94339317417693,6.019091028310117,6.107069434755112,5.893405503502763,5.748815158274886,5.634778423698003,5.948497119488821,5.723767427294127,5.740983047171693,5.600895896808365,5.803492433037264,5.500541027718003,5.79782883598746,5.5614135634534225
zfh1,7.411077645243333,7.416667973029183,7.365698335412501,7.326155179133643,7.379590184639201,7.351758893333314,7.362073975368198,7.45827903635166,7.412341745236967,7.326627429940291,7.2758317905076675,7.195077539410074,7.260819269305185,7.214209526603678,7.145189274773387,7.1758988387586005,7.245298580827105,7.1340827637980135,7.369715538245186,7.23682185236564
TC031968,5.875960364765756,6.099460163632224,6.051719369503725,6.02986023215202,6.003664869816571,5.870092160537517,5.931185423118424,5.996263026389794,5.936509845017453,5.8984357757282835,5.549654033291623,5.725123216782825,5.502202577331147,5.799997219179572,5.640518915306402,5.827926950351882,5.617698937595924,5.509720209084283,5.804975652836906,5.745792058219397
hth,7.992261785837582,8.06331773791674,8.036144648313233,8.01912799188015,8.038937634268088,8.030388800471947,7.905982062719393,7.981163347020872,8.014082755838784,7.993850845363291,7.818194726965555,7.811651873616379,7.871679542822978,7.887461069953337,7.730946842695874,7.887674346501321,7.808954093559667,7.874314965116285,7.879096600985571,7.9349042924829165
Kr,5.918563069363692,5.924621330223575,5.815533271550866,5.665461291457548,5.872418125395173,5.90123838023693,5.939746471403303,5.8404089344789725,5.79007402252234,5.768693983609778,5.407828741032007,5.238331464778865,5.547278719899754,5.352354004067146,5.655503790889557,5.253484590180511,5.078963984199493,5.383268431887524,5.272181023088142,5.553281755102907
TC032451,6.455926668421809,6.601887474075379,6.466625574103401,6.508678100443864,6.552491992976687,6.604618147369768,6.512585616193112,6.558766721468594,6.484434208834479,6.5240032319558035,6.245261355686828,6.269941829544524,6.277450696171535,6.22665378883563,6.33566301600481,6.415772795155625,6.284176295377296,6.271529114776175,6.273848945455811,6.06582200439239
nau,3.8121976666673922,3.9981624866553647,3.888671393325441,4.074589145048071,3.8819518853799275,3.9533428845570437,3.874972354336899,3.8389183291611566,3.8154783506670698,3.8635361025106407,3.555405868927032,3.2362316188827527,3.061174601549436,2.7174498488016834,3.1027124258345347,3.4100375362763184,2.673318257451367,3.059584438892423,3.204333775011319,2.6132582912154954
HGTX,5.430131504256701,5.445121737543254,5.318706015881489,5.417225269616961,5.4216737807321405,5.484194733377213,5.459826258255782,5.4411010174583945,5.570089706717639,5.408045237542572,4.7391771456442795,5.2164705312761575,5.1124839825936945,4.915268256712699,5.077900250278144,4.903711833241145,5.185101243674148,5.04031730687174,4.978100974217644,5.193597189103837
TC000916,5.430131504256701,5.550050428538591,5.271155138837917,5.21684536615611,5.4155970570776475,5.294111072206611,5.403149495968075,5.449114602878783,5.446572380790098,5.265160954814732,4.778061423756647,5.021898552408486,4.866764518188379,4.805775437924965,4.54898357634569,4.934258648637655,5.00641043162963,4.916016684437188,5.041190466779491,4.927040052476173
Dr,6.110003928719108,6.060369559299843,5.918979260798374,5.997678246502069,6.024878394677076,6.083512809152857,6.045939378849143,5.998569420098091,6.0292074799039925,5.942604586773275,5.476522810558874,5.663456064859734,5.679219709502267,5.342738082262727,5.259182436615481,5.495087642514056,5.775988864556416,5.621962015330988,5.518297252570548,5.711536163784693
Kah,4.414697079716831,4.769719802501817,4.72686962578735,4.639464370510848,4.68559069964796,4.614891855596391,4.5673422190832955,4.5800445825483465,4.502532676508972,4.638709437965965,3.8836818141115814,3.949546847950003,3.9705231971394057,3.771034813354448,3.4930885403830776,3.0866947144974244,4.0465512988937515,3.6732519609542447,4.055842626093447,3.4845755041215547
TC006788,5.571580391234748,5.551796469529855,5.683387834422827,5.605053118070604,5.618964995674417,5.491612745211605,5.505973929642585,5.49969378919617,5.368176488768941,5.498092625802495,5.242511426688644,5.111712772573307,5.070777797692069,4.95875652638305,4.888852584303941,4.716659270343235,5.29241737884258,5.04031730687174,5.1005347879564,5.228093456475351
vnd,6.011059907249157,6.0020518295161835,5.890677183579884,5.977621583980636,6.0281871411598535,6.002637513768099,6.0249130407691265,6.036985494655973,5.974854099996918,6.029897246584558,5.522852632995383,5.612717252874262,5.3639732770507536,5.662521713983689,5.562029062744491,5.569515448434354,5.5844856619910646,5.834525807294385,5.617546508850211,5.739034113868195
Mef2,5.488378673144335,5.606118506117645,5.624893056365523,5.454105093798291,5.506800496537474,5.55079837631399,5.407306107292727,5.520345788160585,5.325455924280964,5.547400819941032,4.9995210999409005,5.159631269316246,5.191014989976933,5.11595244422684,5.037337929664259,5.16196959000204,4.975847966455346,4.995495520582575,5.025787307110788,5.181828824501924
inv,6.274062592930972,6.3371809329991535,6.364006725125736,6.5390435404812015,6.34055982089766,6.371135968633599,6.330011565265385,6.300503162314302,6.278305025866137,6.3945079753641085,5.920922587883002,6.006988984234529,6.0113957574200105,5.968466490834857,5.874966301214399,5.904897855048164,5.999906154703034,6.11982304909442,6.027516516951924,5.823513855805034
TC005342,6.653635801006857,6.642557478215135,6.682838779423926,6.685480734425407,6.68877442503371,6.647981047625896,6.7106731112315625,6.571187982482698,6.46017345222911,6.562186178654233,6.181730982784939,6.107076717978075,6.160433056204751,6.185914126473364,6.093956739958417,5.938518541670044,6.130336499393092,6.182360572438054,6.1853875610434015,6.1320480168493345
Dfd,4.524357519964285,4.694503646502253,4.576186894352322,4.215954716077034,4.588249949994278,4.687657280810603,4.365776381821722,4.53129130044266,4.565134406554182,4.371719647050868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pb,4.5193994574494845,4.6176164063140455,4.398700348836554,4.405044707540895,4.299310214808001,4.739934583902067,4.507966406744624,4.345120344054986,4.522215464195021,4.506558544803648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scr,5.575045445582366,5.760452245170844,5.557551967613008,5.615377974231055,5.637037125282587,5.665824071125912,5.553675229546067,5.5222022644702715,5.585351229168739,5.488688532197172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abd-B,5.5290352723000415,5.4794615532637145,5.579939081792268,5.518376160166289,5.48429343914282,5.5646339097313655,5.652535924544415,5.767665365925053,5.608637886757903,5.626183416383969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antp,7.274160045520582,7.2416824752083375,7.208650792058103,7.250668909283739,7.211768178090012,7.243429627517372,7.234447295553343,7.249887378238555,7.205861614863957,7.206631066284063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abd-A,6.816637609178846,6.771593411071706,6.906748993264425,6.825513722528055,6.741398073360893,6.851371722591091,6.844897026857356,6.819081268324078,6.820861479567434,6.781681758662367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ubx,7.4152056838556915,7.307402915290853,7.454962520474878,7.383861292371648,7.4315219437024025,7.413377211476836,7.3783858312605854,7.412003065343277,7.439058231582319,7.341552245809895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TC034050,3.4374680223926504,3.4522148562142276,3.1007547746892707,3.4061258686409586,3.5367347750064533,3.6193815147046924,3.309303472477575,3.524779901631882,3.6666311970162657,3.496609860888369,3.488451616399236,3.7788559702049334,3.9705231971394057,4.017218720537051,3.4930885403830776,3.84993537122184,3.669082248505469,3.6142131907617228,3.204333775011319,3.812247193971211
Ets96B,2.169638096391344,1.8554770230262387,2.305335013079906,1.9617446132878256,2.2218534669067846,1.8531560741839945,2.92194426732386,2.763108753456733,1.5233907880145303,2.270746650587652,1.7108391601757373,2.5816431612634054,3.4861399480314916,3.2285427399657465,4.234488729966898,2.4381887222178618,3.6100500993902456,2.3056336015678838,2.720205862521624,1.6514389099052975
ac,5.376751793652323,5.567375147259408,5.417585057732032,5.470069448053804,5.59378272339754,5.552538322647196,5.473507381647436,5.449114602878783,5.467616533635227,5.606222251104047,5.696929055708313,5.590158386403338,5.581931560420253,5.293220561159678,5.868977198028191,5.63132150014003,5.747707404583427,5.5717182581563005,5.564634857265038,5.631769050435212
fd59A,3.3613185952392834,3.7138414793984134,3.397461028402942,3.324948128014367,3.2274915916928495,3.7435115347440964,3.56188716811624,3.439202830881579,3.5052508815905776,3.5373280814560104,3.339379375411625,4.79704543239569,3.8335867933465013,3.3770180328698265,4.3228583557307205,4.154399172603126,4.648303680459349,3.8319545540915776,2.8649032584294316,3.4845755041215547
TC000383,5.798814163972749,5.76469118981223,5.757362481737619,5.795091946366906,5.744968687743998,5.8033772670965575,5.807112683969899,5.8046984577590095,5.79007402252234,5.803776080760137,5.956759908250231,6.016964574845144,5.724530239915801,5.781477598804796,5.77454991193589,5.809290366251148,6.027388740484651,5.987314423246588,5.783380121648534,5.854195898465255
tup,6.165179896234449,6.140958894475416,6.154610299488042,5.954718726249399,6.062815568078043,6.113719574482415,6.043746784676872,6.235405502587727,6.138530014387691,6.262414529398386,6.304995590119039,6.511799199872217,6.225138016499969,5.993978730503074,6.249155045814559,6.240590913840644,6.488314357514452,6.254320165842892,6.260391182476641,6.1320480168493345
TC030676,2.655304185686376,1.3076228332366824,2.0503541742846605,1.3404586316058653,1.5380051309644132,2.204959578151201,2.181948607623236,1.950531078810993,0.8524594201864408,1.4351649042875003,2.68107696056963,2.4143382082503444,1.1821573435528232,2.8426916072292903,2.765108963262352,3.706686439796706,3.1561464618945214,2.821583050091802,3.4572879185364314,2.6132582912154954
Awh,4.768843164147648,4.781095437499385,4.871719194555356,4.759200399302306,5.066603234166307,4.716145697965237,4.809366690147908,4.662224443178127,4.728425707938074,4.83842530422977,4.656555755472465,4.937922642309775,4.654193836188508,4.885188535616777,5.091063460730849,5.0206701963006095,5.120096748649942,5.025598808876765,5.235104510735452,5.000630181640936
Prdm13,1.9359149383706449,2.673242715950865,2.6454602667404274,2.196363512269495,2.4820595087337067,2.4258216439833973,2.2328194364347786,2.4572566783828997,2.154546611670607,2.2223983269140275,1.7108391601757373,3.5140371388624834,0.0,3.305533473070544,3.2775179452945276,2.9863938881272887,3.1561464618945214,3.1602432002090155,3.103472669807077,2.2437852941215066
TC032830,6.377685678645467,6.3331959888363345,6.278846528635349,6.422375274623342,6.399230487424884,6.295506964747519,6.323395388078333,6.290230462798028,6.206798046991846,6.14115908813168,6.520287735938875,6.358400171592817,6.640338568086872,6.277249222750228,6.4256613452441425,6.373878688834478,6.535076061467793,6.241216276707222,6.467672264648653,6.352923696085397
TC034534,6.624392068251269,6.605543285392167,6.642469224080836,6.637369298594363,6.606415510402011,6.598528849425408,6.648503841703596,6.568585771124547,6.588408378823348,6.613182718486588,6.624832683725221,6.747875128149682,6.754687522110716,6.647312584839003,6.6526050044264124,6.602371341752628,6.625495820937633,6.687681610129912,6.684612831335618,6.660163227729539
mRpS26,4.414697079716831,4.355107012470724,4.32383036723525,4.26997553730202,4.405173985381396,4.274380964011403,4.444841320282461,4.437057217834531,4.305422377389792,4.383201668564194,4.493179524171662,4.6130113792723115,4.736813427977672,4.625089014301112,4.377711089168143,4.387478223048216,4.459262799881917,4.3536209692910806,4.534666275986323,4.540295684051916
Hmx,3.624198486392291,3.136734932496833,3.8413657942997856,3.653527002508342,3.4390125552914266,3.7645139782887487,3.874972354336899,3.329124052914453,3.5704376797837543,3.5373280814560104,4.014638027245897,4.222497724198371,4.198414369612638,4.017218720537051,4.3228583557307205,4.186682569846118,4.085099379614079,2.9476476784137944,4.427678281449391,4.058638755115935
prtp,6.073906078240776,6.03701949544471,6.012720278969064,6.043341657774321,5.988886644314749,6.072204315120349,6.062232365783102,6.066474719264405,5.98280209584801,6.038657827721202,6.249648460002715,6.250485284930719,6.268919757201785,6.130343085251737,6.21998271349233,6.0724091656303205,5.977362983690403,6.053112140100875,6.260391182476641,6.099483146053469
acj6,4.392373740277526,4.319855768713579,4.335720022053499,4.302314222081105,4.123405954840093,4.112115881090473,4.359882288513873,4.295774827884842,4.33523443291718,4.486169155674184,4.69871949473357,4.84624290190129,4.900989703169463,4.85417589027869,4.655534274870644,4.806038948184578,4.0465512988937515,4.08930614736871,4.7402916476067185,4.341993348712648
TC014168,5.499631771788983,5.534197333767532,5.605162565444564,5.613664550858687,5.553894559817279,5.55079837631399,5.502208594677211,5.531433297698048,5.575202803924794,5.572041830267659,5.70450822858449,5.559265762786096,5.631758291656105,5.574549708921216,5.713293946847555,5.703566352855215,5.673293138730468,5.707990859305381,5.980839868553219,5.624191795962901
dve,4.909518012884686,4.941033380779787,4.970413551171015,4.894680978313064,4.994971141107944,5.073345501963928,4.975746433622683,4.9628020988858825,5.033567565466205,4.98625219785524,5.044344086227139,4.86211850777251,5.070777797692069,5.040440129838778,5.202329832125579,5.395887955336971,5.078963984199493,5.15086147884087,5.1966002238691305,4.911649108356791
prd,3.1507245311427843,2.673242715950865,3.14058842543973,3.616314356996509,3.862937846442732,3.375694848454861,3.374727021787562,3.1473177712750635,3.5953673619426594,2.7195125026010776,3.785761795995002,3.152787667240352,3.1618408510408997,4.153043393313377,3.7731398690422058,3.0866947144974244,3.8755223915235435,4.630774387834431,4.2755159874556545,3.185510409696692
TC032655,4.1509942813922,4.150869244568381,4.249361415394338,4.113770801878671,4.221946387308681,4.419368543262866,4.279919319044036,4.339083684100828,4.323416046321367,4.2999130088729185,4.41406846772283,4.2805000457818005,4.325803911838118,4.625089014301112,4.3228583557307205,4.486376976256283,4.626537591876016,4.514209011537353,4.60800749085319,4.194557894678433
TC015373,5.571580391234748,5.445121737543254,5.368315571144503,5.368030857430486,5.638663965621517,5.4616047089634305,5.433910938935644,5.246293235576243,5.696713288687694,5.499962878469834,5.741565658194454,5.559265762786096,5.724530239915801,6.139096068224052,5.528822836540482,5.77743614994628,5.789835201601623,5.730223393516993,5.75384089999144,5.459174819288038
E2f2,6.564493631395701,6.604934910874171,6.561603025175576,6.611784908172985,6.583931265591513,6.591172406539921,6.5962055290072685,6.626787508241303,6.62238749248201,6.614409571553471,6.584942894600795,6.693873091990095,6.640338568086872,6.626119457480593,6.679672424101812,6.570666421381774,6.625495820937633,6.673514777387081,6.788369621019631,6.678881625275317
TC031421,5.645168547755789,5.709622717389012,5.745888140705936,5.78213517224781,5.698600985971274,5.721668210248455,5.712381047994541,5.706329023784434,5.699719770788132,5.706835651401275,5.689291999987363,5.890139793028788,5.760781274194106,5.683356525612254,5.807026539110614,5.737821353062121,5.718602766490876,5.898468653752425,5.900011928942246,5.9298245038786765
APP-BP1,4.892550744588398,4.941033380779787,4.909047666824979,4.862492473113973,4.9009561475371815,4.888905384790034,4.885583850073338,4.838570962068734,4.879041729444667,4.891312753956244,4.903356582250726,5.008383197639685,4.98175398485446,5.11595244422684,4.856313731906115,4.963899948400565,4.9912459525333155,5.201865010710629,4.961686451162122,5.133319507050578
TC002395,7.371991412354634,7.364524075309992,7.381842722846041,7.336007090170236,7.402416508947786,7.3745050422922755,7.367930229893858,7.393618401002859,7.365786011184869,7.381340432870347,7.371506835793231,7.3889213510446385,7.412369668099968,7.417985930153294,7.38678100346326,7.380492388039651,7.519884968515946,7.4482179566869124,7.447071127360267,7.4429984097885455
gcm,4.6005151512115585,4.548694694868973,4.673516077589497,4.460885507828503,4.564740320689286,4.363869802538145,4.4873643108103805,4.670952214794337,4.403353669367989,4.4547837368749015,4.69871949473357,4.6130113792723115,4.7167896135747025,4.789106993952961,4.655534274870644,4.73518574127207,5.050571069566994,5.069119921091301,4.928026287965053,4.7057068427642745
ase,6.145821807332832,6.176142843156075,6.098422137737225,6.1699967712028805,6.235305703523088,6.227059186042638,6.204591415656884,6.168692502180456,6.0776773078276465,6.14410695066583,6.1770348409786795,6.2144801061813055,6.319046729121116,6.318147877434221,6.418752148599526,6.292194092901704,6.304928677621627,6.4326973743804094,6.338548135636658,6.40651281452585
