gene_names,Hox_2,Hox_10,Hox_1,Hox_13,Hox_14,Hox_7,Hox_11,Hox_15,Hox_3,Hox_9,Hox_4,Hox_12,Hox_8,Hox_5,Hox_6,No_hox_3,No_hox_5,No_hox_14,No_hox_15,No_hox_10,No_hox_7,No_hox_12,No_hox_2,No_hox_4,No_hox_11,No_hox_1,No_hox_13,No_hox_6,No_hox_8,No_hox_9
fd96Ca,3.7115247569849625,3.5330347515296703,3.8944928980696836,3.7376643713593185,3.698061479832131,3.6497877083934633,3.9188013421269865,3.7703434156127424,3.7924297608237905,3.909281755915665,3.7450047151560697,3.721536362450269,3.4603129582333083,3.8106672183707095,3.7123001901834076,2.8031943607132574,3.521558265875885,3.7659113548229484,3.44070030860572,3.1638890692666264,2.685779835331433,3.5015804057131463,2.8938569916914623,2.9614231824818327,3.8430299755577684,3.539306865105813,3.487937467611281,3.6268201239014077,3.61046013505192,3.444313351863417
TC031968,5.816593246384219,5.439849751906371,5.444040750613056,5.716371090513903,5.70300469614259,5.459363322174522,5.59936891826276,5.688535763107938,5.500491526971339,5.547912796258832,5.439137009752407,5.593811717773789,5.370267024827642,5.500755100933342,5.5650445245250335,5.2069657218635195,5.148784909463597,5.684260538773684,5.193484855901534,5.437603826877272,5.07816369268884,5.562553552618382,5.081181727069025,4.923062581020304,5.499442343000386,5.185518898663872,5.149117198467525,5.2147478323367675,5.359718603132468,5.160590049511775
nau,3.602496898235261,3.692496435716186,3.958948201066856,3.5229795187275816,3.5587643927297044,3.163539092126695,3.2900720430066355,3.646128558918443,3.5188113019314056,3.8403622274542784,3.2029602809997013,3.2880682647414914,3.474881771464847,3.017466984799633,3.4015231456032833,3.2328906980491667,2.712908322954073,2.0364872296483396,2.63523799358011,2.5121343427504526,2.9562730182698838,2.7733168083759727,0.0,3.152641118905159,3.023902996536801,2.2365264101728357,2.885720820237779,2.464931132541074,2.8866541661512084,2.7825937863339134
sqz,6.625712155437496,6.829304438159524,6.65926402086469,6.656547083628154,6.722928046973523,6.574775091015739,6.6030515267980565,6.66841896450409,6.796634534343111,6.834538548549832,6.565996633773463,6.698069879843003,6.7601284026872985,6.533158002135044,6.618834741689286,6.479868100892074,6.676808571287396,6.360465469159155,6.292389117861911,6.368915500402316,6.354586967735887,6.3813819724180085,6.130278046995332,6.558923736563333,6.850949582369209,6.3557642035155455,6.639033711057015,6.520692317515546,6.553379780121778,6.76792074730746
ftz-f1,5.895868777291924,5.705462122558684,5.7541202835009955,5.673282113998413,5.716052404915261,5.727716578600478,5.714225023686686,5.889866944687937,5.827489232527986,5.731432431946607,5.742855480307966,5.762037479369034,5.7942915126850485,5.879239505397133,5.78193925209019,5.626673908693934,5.72331076488891,5.564068231163076,5.6703685001346695,5.558185594830187,5.631029980512308,5.671639591729619,5.651329827073617,5.634625879679329,5.770402000650655,5.6751648215287025,5.762629684576651,5.630053186592855,5.6055495390603,5.745823095459087
Cph,6.782693548987945,6.754180897746305,6.88466487052105,6.8821756584787,6.89950716182729,6.901598590694804,6.806484492496884,6.8591768575737415,6.930211670794198,6.970802912494834,6.853326789167495,6.822441253619115,6.8946648315851995,6.844766051560502,6.861206499191669,6.6539760158308665,6.8094433749120205,6.564655187135542,6.7960609225128294,6.662946538382625,6.762111272607843,6.699043703264397,6.690949734181336,6.708739580424256,6.860114292387299,6.676052633805114,6.711070047346891,6.705407173296731,6.675353318458111,6.6902543769484275
hkb,5.407716974302964,5.2319962319770275,5.184987225622846,5.380371918943683,5.313669213043489,5.351794897178909,5.382779804250434,5.361173961204518,5.511277955738061,5.417836035412545,5.419224081213176,5.387164725926072,5.330362894959497,5.439370560495644,5.493329586953159,4.960669135945082,4.953927305261951,4.7579180106579395,5.1058888834574105,4.886146053010059,5.223271015538499,5.15075517621842,4.983840642854295,5.311134940749381,5.345972939566777,5.074263569270824,5.242782522155658,5.063449174838709,5.308672763868214,5.232510283526482
TC030585,6.372729412154097,6.282965503038174,6.287708249350559,6.37422058312227,6.356497220172938,6.353952952242918,6.411912846029194,6.3885451395885955,6.359586911258232,6.362626495641161,6.366560783753105,6.319460486987517,6.408192637732712,6.373989543230585,6.3198950825584355,6.301919144308514,6.238950961800251,6.356618573805188,6.339187952047487,6.240609495681686,6.232555742012724,6.321543504386581,6.272779177932359,6.285086213296671,6.304129388494579,6.330025447093903,6.243852296061137,6.21107275468113,6.34258337871995,6.3275561512090555
TC030888,5.52289394307581,5.40364284056983,5.4797489130904395,5.721978517833993,5.612975571376715,5.786897677564274,5.684331104141675,5.650385647624662,5.704194189830364,5.671202659766871,5.620734432788309,5.616240661085587,5.722056994925393,5.705595139251295,5.650521505550946,5.424144539746148,5.227332226870688,5.437144159662464,5.338240239047205,5.180473975838068,5.235475378280333,5.467627195233018,5.434662757037887,5.406909996769864,5.087106146438884,5.451085966948379,5.531936270619327,5.346134857537462,5.445507966532305,5.3210031893613285
TC034116,3.2894496436304737,3.390336795771045,3.5178087217779193,3.685483053888974,3.687166471967764,3.950702514659817,3.603125772684566,3.596839334153995,3.70927357160342,3.53245804906634,3.7870264250311565,3.6011011337450713,3.517356420129742,3.7397610946780766,3.640069016127748,3.2328906980491667,3.0960107132416814,3.3970480766744773,3.5702183788631157,3.4164529126801737,3.168959604468041,3.6231902198891794,3.197096774899341,3.2360845467751638,3.21569601659383,3.47670203612676,3.4211253484209285,3.1146410805143367,3.4888957623793453,3.372658267144033
