gene_names,Hox_5,Hox_3,Hox_1,Hox_2,Hox_4,No_hox_2,No_hox_3,No_hox_1,No_hox_4,No_hox_5
Or47a,3.76446522002212,3.4565895042832606,3.24563786007559,3.4526535714482702,3.4747226233491384,2.8505740245533513,2.827405591475882,3.0306841252454406,2.254659148853945,2.5146321838781027
net,4.773725639848694,4.788427456191573,4.597608782741642,4.65724756177413,4.762910812444548,4.484133913088745,4.568602941137341,4.555734893252919,4.40738263216573,4.416510655053966
tara,6.920054428098468,6.959843973635113,6.970247076248247,6.957691207743653,6.9658671342294065,6.865359507826831,6.882989233631585,6.969062283622168,6.7772678147791146,6.845354457190282
TC001083,4.107795452028499,4.040133128451436,4.342463593192697,4.289946557111897,4.240934545218678,3.7792109948770487,3.6792850895635185,4.0965785782783355,3.824136256585142,3.788177845744266
cbt,5.828761870529562,5.731889671684115,5.706651688308384,5.829309100715487,5.866146290083332,5.613079251305582,5.515885073059083,5.728870879066275,5.434735333926324,5.628463520816429
sug,5.337913703314329,5.471551207377378,5.444510716869089,5.383518619748368,5.383369605419739,4.96706611026783,5.01680913716955,5.37358814226321,5.012704921577999,5.195844696180648
exd,7.37355094156163,7.343858671622099,7.329436499226404,7.346586709020511,7.332774660447708,7.219593041984472,7.223153674811048,7.308204965050179,7.224408140449476,7.2751596768086255
TC034819,6.752854411276658,6.8477943801832035,6.8071733213604935,6.848864907786753,6.801625605757923,6.819698495784663,6.552034724754295,6.722712615025654,6.650473026181634,6.656938546504922
lmd,3.9723535581954246,4.191767053929485,4.0490077223825685,4.213095668186357,4.101047198109774,3.7792109948770487,3.065484784517519,3.522007777557009,3.1971666899037454,3.6796118250816674
TC001789,4.207022086070486,4.292085495046614,4.192489981567196,4.289946557111897,4.273049258762964,4.025436785585756,3.557481764554792,3.850004176764085,3.673618517829164,3.886103090169062
TC030585,7.434239017171325,7.450206945183971,7.439241788320628,7.477932584457141,7.48280014595897,7.366367841391557,7.337350773852625,7.424444919342136,7.372888416028544,7.4547392018255
slou,5.023160782466812,4.9719431953456485,5.070866025619754,5.106942617070344,4.865865209305777,4.691093882003293,4.568602941137341,4.817444415902106,4.842986722908278,4.817942206894009
lms,3.23745230038698,3.6555265858233494,3.24563786007559,3.1754700322762397,3.4019158439839075,2.2136286419679916,1.1852946350449785,2.6490735203106914,2.6245284100555617,2.5146321838781027
kay,6.118372583956999,6.019515483877489,6.057981864634506,6.0815859270101855,6.08460008139354,5.901707285147292,5.8139294414381,5.968317786426064,5.947536059874349,6.01068313867531
TC033122,6.626717842746814,6.53883326673359,6.489198517627162,6.6388988837542575,6.502313274900073,6.3831550965734705,6.375171079284718,6.406026221198427,6.4923919136965225,6.413469561032096
grn,8.162079621639542,8.272440767077871,8.203783869019308,8.246935939179314,8.157248758410244,8.013061931206916,8.06932382989426,8.113365705881307,8.211368024536007,8.056778046128949
TC011745,4.038380380026278,4.592179571102634,4.040854239600504,4.449171350305428,4.247440526518587,3.514389646983448,3.735040240765806,3.895556467597152,3.4963610069779625,3.4908482668212955
