gene_names,Hox_8,Hox_2,Hox_3,Hox_7,Hox_5,Hox_6,Hox_10,Hox_9,Hox_1,Hox_4,No_hox_7,No_hox_8,No_hox_9,No_hox_2,No_hox_3,No_hox_4,No_hox_10,No_hox_6,No_hox_1,No_hox_5
CG9411,4.089540123052547,3.934626269997788,3.8458148132904624,4.189793035169525,3.477911563165124,4.062651840698488,4.2172320228008875,4.149555103257869,3.4920135329568915,3.5592399849286087,2.899601183550748,3.433028608586448,3.386580259691715,4.018116400143374,3.497667088842111,3.2898857882327013,3.7233525922819353,3.619703428663625,3.769625578888624,3.670911237649233
TC007826,3.5737479056320183,3.8510072519462435,2.912501946668649,2.7504673599961476,1.8779012609306953,2.734011642724456,3.866854090877464,2.5881674166663706,1.8902383257699933,2.0347009641405185,0.0,1.664204678111126,1.1623013069195414,2.442284926118722,2.2558648098380703,2.2631440216460366,2.3004265196279556,2.25627000499111,2.0397939969739234,1.6590254300860556
TC034592,2.88165210137462,2.9800944285287994,3.4264725776397396,2.52134055152138,2.9446619470828352,3.1175861649940733,2.8742060939991743,2.8980983312148814,3.005925165096293,3.0421335155380067,0.0,1.1444570255726072,1.6853920561100812,2.990655125545016,3.1072225615998956,2.633319401290453,2.0456039741750236,2.002905761028916,3.148313876349847,2.454058142981572
TC007085,4.11343080842793,4.259073381822165,3.7536153195722894,4.007727102703967,3.823842260062503,4.151452403132949,3.8767950855455755,3.9076532090047524,4.272912452855624,4.158148346955785,2.6301012000836064,3.4998665597802083,2.9219921854518613,4.222377537692879,3.497667088842111,3.505549816629888,3.7233525922819353,3.359648919794132,4.397756037439569,3.426842854800411
TC005430,3.8845220809285035,3.5344669865797744,3.4558072656009298,3.8356443247536847,3.6948616107513206,3.6809801916162104,3.805038873664448,3.623717293404708,3.731744040843518,3.494075151463962,2.899601183550748,3.1093892775871645,2.9219921854518613,3.543787623539662,3.2820620299269514,3.4386996662804363,3.4071768697391285,3.1988926812637963,3.7168386874285866,3.426842854800411
TC032050,2.88165210137462,2.622033314941236,2.1730976167846863,2.6260228408090573,2.5290174284133307,3.1373016993375344,2.631285676579059,3.0752565027768717,2.5786032008350945,2.9536891551597586,2.462090979489322,3.0089751972846077,2.2812726865496544,1.9878156422503623,2.4578290776966436,1.1484547577024717,2.3004265196279556,1.662733234389562,2.0397939969739234,1.6590254300860556
TC005470,3.141453456043413,2.8032849575441015,2.834910715418653,2.6586156730126405,2.920070235587152,2.64226890405972,2.7898731892185156,2.187240733565041,3.2870080494583944,2.930299367833443,1.66614421667106,2.627881781447697,2.9219921854518613,1.9878156422503623,2.4578290776966436,0.0,2.0456039741750236,0.0,2.49719542604005,1.9989472905658339
GC,3.0081535795665997,3.169361477336745,3.0297772973510693,3.282316340284655,2.8689946404581397,3.2824228497035426,2.9008073801802747,3.0338216335250747,3.156310214532849,2.976544340741135,2.6301012000836064,3.2006340956805572,2.9219921854518613,2.6100067700914114,2.2558648098380703,2.009548646768774,3.1547039081795525,2.002905761028916,2.66570274828471,2.252173047062443
5-HT2B,3.240391441274912,3.2781767324187547,3.2114215396622923,3.3488033281443084,3.16212377870211,3.1756036331791804,3.1544851597603913,3.2932098698787553,3.2330719632712968,3.2851576302227135,2.7739026295078646,3.0089751972846077,3.134312102327972,2.879134254410108,2.4578290776966436,2.633319401290453,2.816142923294055,2.25627000499111,3.047711405644143,2.765668407814658
TC010127,4.252770539932158,4.135793184274211,4.103235575050705,4.161658679964912,4.040579777346055,4.085602125760981,4.285241785436121,4.085143844514077,4.0302084480363,4.185499422439794,3.960826426641143,4.0741394735510905,4.203475197328457,3.4143768215193147,3.2820620299269514,3.3670583730052317,3.7761478018738774,3.359648919794132,3.9130794579340358,3.9104850116016237
TC009466,5.1065879367390385,6.281884197782809,3.154462383590367,1.3209193735687415,3.4192145708762895,4.7626509369335635,5.630803095999706,2.5881674166663706,3.637706258609548,2.6907859806520924,2.260037582839394,3.1093892775871645,1.6853920561100812,1.1313560308035928,1.1429116774260601,2.2631440216460366,3.5458499771696417,1.1432199782574997,1.1723815205407382,1.6590254300860556
kar,3.560156663461353,3.225248470193945,3.051667884714537,3.3161122974127903,3.448993672323152,3.299167189799868,3.305446268299114,3.3253280250479245,3.214426836762276,3.395062313976605,3.679473405600907,2.89734099610226,3.134312102327972,1.9878156422503623,1.1429116774260601,3.1149882261601682,2.0456039741750236,2.895625805991387,2.9358442657528094,3.355230945858714
CG14285,2.8262023371576706,2.8032849575441015,2.658935013452987,2.5923318224096534,2.4119986401201543,3.0345907029839263,3.0914316308138527,2.407663702297301,2.5048639113994304,2.7491871011416213,2.6301012000836064,1.1444570255726072,2.9219921854518613,2.442284926118722,1.1429116774260601,2.2631440216460366,2.3004265196279556,1.662733234389562,2.0397939969739234,2.252173047062443
wupA,4.648886718794418,4.73262981379298,4.118252725854899,4.337797481281776,4.2906915710664135,4.464957034308862,4.385266141082915,4.344189544532333,4.155239503465664,4.36415431339469,4.212449506542686,3.621470268016256,4.326878727815848,3.7611336730956006,3.497667088842111,3.6828537633011518,3.66761392643288,3.9566992952040203,4.250207001257181,3.9922628725406177
TC004159,2.5297194902846463,2.2197710982068712,2.5926495147577104,2.404404652476722,2.8689946404581397,2.9674860565530485,2.72942157218502,2.822639099643793,2.425251161837415,3.1036842688763295,2.260037582839394,1.1444570255726072,2.2812726865496544,2.442284926118722,1.662366462833981,1.6689575493934654,2.5033232625550084,2.002905761028916,2.294421874173465,1.9989472905658339
fat-spondin,3.5737479056320183,2.5883529819749547,2.721098555653753,3.007070350810442,2.8689946404581397,3.3789249313937857,2.8742060939991743,3.0124420740302535,3.028843618383609,3.198531885806854,2.462090979489322,2.004476407045224,3.134312102327972,2.442284926118722,1.1429116774260601,2.009548646768774,2.816142923294055,2.769958330056334,2.49719542604005,1.6590254300860556
fd96Ca,4.065064673929241,4.106203853460396,4.147626959053049,4.307434029070078,4.404133496514631,4.449309145699654,4.22424495045046,3.7956747574101306,3.9432991267308557,3.82376922956131,3.679473405600907,3.6771418366209145,4.267079309874893,3.4143768215193147,3.006819183888132,3.9642282101816044,3.919622188504012,3.9149709065240534,4.038512485068145,3.6152489549527256
TC014513,3.518238162910223,3.7273852942788817,3.6400937387635404,3.4979233233142666,3.5333534035579803,3.5733792400499227,3.373160457266522,3.386626011105416,3.637706258609548,3.395062313976605,3.286547482591985,3.284245000526454,3.134312102327972,2.7535970206521,2.2558648098380703,3.1149882261601682,3.1547039081795525,2.626197590037222,2.49719542604005,3.1032826391435115
if,6.479506332886254,6.525078854874029,6.473351675460806,6.36246380842766,6.381009169961512,6.395716025061161,6.419327954980801,6.145999440258632,6.325932873119265,6.296649572214485,6.150171947855181,5.978620772990396,6.21856120634406,5.99139669255691,5.779257077441655,6.082500264665104,6.21321369438519,5.9037305859357,6.035359964784387,5.9391778963120245
Hexo2,3.3642727946768742,2.654616146916589,2.658935013452987,2.7207777657825893,2.894858492136233,2.920109725061499,2.7898731892185156,2.6521371836870804,2.542413087533145,2.8308525600388426,1.14608804439965,2.257895443181716,2.4837738188296155,2.240648901539056,0.0,2.7771542552550508,2.6719155593267985,1.662733234389562,2.0397939969739234,1.6590254300860556
vkg,4.9283840232198495,4.874556196082603,4.952979163854102,4.644462253257623,4.941326492797306,5.042401620492207,4.958150671029103,4.9281006889950625,4.836806040861557,4.6929314945825515,4.464003931349721,4.599894649942963,4.581701342320638,4.338529940207818,4.071910044384765,4.835427234603481,4.45777347478114,4.5541033881194375,4.5263074385710835,4.45532072351243
TC007822,3.812753754925821,4.1924680915788475,3.8935868887770404,4.024231264175951,3.7826698480635734,3.736106922568188,4.097771215864531,3.8532305616832385,4.062962055048264,4.093727966146588,3.4353434671294485,3.3614013263441245,3.7025626460832233,3.6027105840352993,3.006819183888132,3.5682096830959957,3.5458499771696417,3.5607518203695836,3.7168386874285866,4.103611967720614
cmpy,2.934188052251692,3.2432042969273596,3.3650881424060133,2.9607489516226884,3.5333534035579803,3.363474182183704,3.269788297446875,3.22570265898021,2.958449628678479,2.8308525600388426,1.14608804439965,2.459903132019709,3.033776559688834,2.442284926118722,1.1429116774260601,2.009548646768774,3.4071768697391285,2.458242944320711,2.8098679588574798,3.1945025045904094
TC001789,3.503865540873066,3.611237169589318,3.4982563233763506,3.651709178575739,3.7286996201536002,3.610547616249455,3.373160457266522,3.669557232610945,3.4920135329568915,3.5592399849286087,2.6301012000836064,3.1093892775871645,3.386580259691715,3.3427961838064353,2.625777733252747,3.1149882261601682,3.1547039081795525,3.282497649213479,2.8098679588574798,3.493667420368431
Cubn,2.88165210137462,2.6861707523916336,2.404717032000018,3.5252532868461257,3.1222509820971527,3.2480688254252983,3.4518242912415618,2.7689715763770555,2.5786032008350945,2.415611208157985,2.899601183550748,2.627881781447697,2.2812726865496544,2.6100067700914114,1.662366462833981,2.2631440216460366,2.9421666675027756,2.002905761028916,2.294421874173465,1.1401041028298804
TC016298,3.6640410555068854,3.3606042102740945,3.411476096339028,3.815680455633884,3.6357889647796653,3.634580571389516,3.9529539258066646,3.444382590526198,3.6253045173448726,3.6438768410682507,3.5021864062496015,3.284245000526454,3.2256571872044986,3.1821466385685167,3.3592120388435283,3.2898857882327013,3.329891574555676,3.007249419129333,2.9358442657528094,2.454058142981572
Mlc1,3.735433733905756,4.060110523829185,3.603362512359422,3.627665024271852,3.4920628448188196,3.808510102393383,3.7835544742542506,3.862509180879621,3.53389870010861,3.3800820286834137,3.1116746532680453,3.284245000526454,3.2256571872044986,2.990655125545016,2.4578290776966436,3.1149882261601682,2.816142923294055,2.769958330056334,3.472446161757052,1.1401041028298804
TC033609,3.054589413712907,2.9800944285287994,2.8076488583715347,2.7504673599961476,3.015004277735296,2.734011642724456,2.72942157218502,2.6826502107805936,2.8288517815314402,2.777156531285017,2.6301012000836064,1.664204678111126,2.652093169115007,2.240648901539056,2.0025142380742684,2.633319401290453,1.1769949690106976,2.002905761028916,2.66570274828471,1.1401041028298804
Acsf2,3.546378151272344,3.5476783135598957,3.5255865670035287,3.3647566222071044,3.5467465523543122,3.3789249313937857,3.047072937790584,3.3716501631253566,3.156310214532849,3.494075151463962,2.899601183550748,2.89734099610226,3.386580259691715,3.1821466385685167,3.006819183888132,2.633319401290453,2.9421666675027756,2.895625805991387,3.047711405644143,2.454058142981572
Pvr,4.885684749756744,4.712361072930328,4.401858269825269,4.319690262849348,4.749170789603012,4.627043933357492,4.544423230488978,4.467488046777432,4.594090536864029,4.705040347159022,4.359922171172806,3.9167501699162424,4.383303054991326,4.310732013879892,4.107668760301131,4.183568000038873,4.45777347478114,4.035269678003512,3.8675103653668783,3.6152489549527256
Calx,3.4594650528947732,3.5210787810313686,3.4264725776397396,3.2293792820008487,3.559962692804151,3.363474182183704,3.4668408546643157,3.2080889508653856,3.2513758026731034,3.438702015385462,3.5648399374218944,3.0089751972846077,3.2256571872044986,3.4143768215193147,2.895198213171213,2.9028783369155895,3.2461291853537837,2.458242944320711,2.9358442657528094,1.9989472905658339
TC033236,3.313047764326305,2.9566707114948154,2.937083138293063,3.5518561510184594,3.1222509820971527,3.09747409738849,3.11289426858937,2.8484300561485685,3.418053475611418,3.3016173760445384,2.899601183550748,3.3614013263441245,2.9219921854518613,2.442284926118722,2.895198213171213,2.633319401290453,2.5033232625550084,2.626197590037222,2.294421874173465,2.454058142981572
TC033129,4.344291055815172,4.178597640062647,4.133047694273578,4.024231264175951,4.2906915710664135,4.49553686171109,4.391197554146088,4.216570433646315,4.1024507807474295,4.137132643634487,3.919094615869396,4.037053041086591,4.170088807922798,3.0909775208684254,3.5603120737789373,4.004290609018064,3.874046897540696,4.108113929761916,3.661109293242718,3.2780924592588456
side,3.3807808331073717,3.465658122365551,3.3164432259679457,3.0937340540663523,3.3728141292899325,3.5983110164648138,3.5247488564895306,3.4856111333610054,2.856149873460655,3.2514023704780968,2.260037582839394,3.3614013263441245,3.2256571872044986,1.9878156422503623,3.1072225615998956,3.505549816629888,2.3004265196279556,3.107654934409267,2.0397939969739234,1.9989472905658339
TC031533,3.054589413712907,2.8570704320871116,2.9845038594220714,2.8073261947839234,3.0592924580556224,2.7043561771421762,2.9008073801802747,2.945415960916841,2.771912899787078,2.8566566803365783,2.260037582839394,2.771660096376308,0.0,2.879134254410108,2.625777733252747,2.2631440216460366,2.816142923294055,2.458242944320711,1.1723815205407382,3.0028987820819855
