gene_names,Nbs_type,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
tin,VNC,3.37701945166714,3.69167361549868,3.69560146443005,3.53745791778821,3.58856749614522,3.7435115347441,3.47983122590464,3.34561110742148,3.76482425520296,3.80422272267053,3.92926616794786,1.96142073638872,2.51016925627737,2.40705188813407,2.45351243959566,2.60585019872874,3.33134444858683,2.05064315787338,2.99128557670604,3.54719551274123
ara,VNC,6.52448021589481,6.74285166194763,6.66458609488467,6.62184708207268,6.67905833402432,6.60704352206679,6.50361794767272,6.62000428861117,6.63719178888136,6.6265960221129,6.44397867052949,6.39985816805312,6.55398297723099,6.33977073174783,6.4954639757306,6.27266057103663,6.39895162961877,6.42174607933025,6.26489725694595,6.1635857766704
CG13982,VNC,4.31617637001564,4.45918259642162,4.42065326655416,4.27652747887777,4.26137625978466,4.28678572278401,4.16466400984311,4.3570854279515,4.40335366936799,4.28742745998431,4.38624341169152,4.06080946157215,4.23181515015259,4.42878759399133,3.99167686719554,4.01371006736884,4.19255700394353,4.19677108944388,3.97040463604553,3.71448718816761
lmd,VNC,3.52179697362118,3.34720930720781,3.76068945656592,3.55104008959358,3.13252310205969,3.32861294189041,2.89672979887618,3.67667250695058,3.26248247074233,3.53732808145601,3.25558635554991,2.72492793503694,2.94922857898762,3.14512627411242,2.76510896326235,2.43818872221786,3.05550695645491,2.50863656336155,2.34714075675621,2.6132582912155
Axud1,VNC,5.18433802420083,5.19254458543371,5.24054401954712,5.12614728576739,5.0491704899083,5.13327130439403,5.15638380616018,5.00412306550284,5.20746276637271,5.18397295827292,5.12837871438663,5.02189855240849,4.90098970316946,5.09140982689159,4.87271549938128,5.12537048386954,4.97584796645535,4.96445782277218,5.05635996371509,4.91164910835679
su(sable),VNC,6.13402448885446,6.16958067469566,6.09027724012075,6.1650688421956,6.12367862386688,6.14784490856392,6.08460557240329,6.0621604394407,6.04633430564615,6.14802396494404,5.9390017786678,6.05111572682022,5.93662347110163,6.12151281053738,5.93858244100369,6.07240916563032,5.93664662957537,5.98731442324659,5.94434457954387,5.95745445492057
crc,VNC,7.27605566562959,7.31730183483267,7.32579456917346,7.29408832410195,7.31573912499268,7.28178426891167,7.30869439274147,7.27366192729243,7.29375386661538,7.32361554935989,7.29602065644482,7.3049366087528,7.2002385547896,7.26635785269114,7.25164389716251,7.2616466023176,7.19934704448403,7.25117683420218,7.21889130454812,7.25782867810677
org-1,VNC,4.66700186071083,4.66105912263028,4.59915366094193,4.81026655449787,4.31775087320988,4.35239063104513,4.82804751830214,4.55596502238983,4.40335366936799,4.7234386602546,4.26648738255397,4.43669725572404,3.7834313717154,3.77103481335445,3.86635879129632,3.93517174784946,3.54731332024825,3.48452271408603,3.97040463604553,3.98305856139047
Cph,VNC,7.18179260435684,7.293438855138,7.19824003234063,7.18375032726825,7.2248306771264,7.3100645423298,7.35085171244611,7.31619264264599,7.36038171469789,7.26779034314813,7.05560235655506,7.21324634002518,7.11758208160406,7.08078327876461,7.12998551918448,7.08910230907875,7.10057882485656,7.10485389287049,7.25461406440467,7.02478983822553
CG11617,VNC,2.95737231431768,3.37835264362343,3.39746102840294,3.2905373499633,3.19057927341611,3.00953943771092,2.89672979887618,3.32912405291445,2.91724656279217,3.31480701238342,2.68107696056963,2.21330503625041,2.51016925627737,1.6175001506141,2.76510896326235,2.43818872221786,2.50470684749382,2.05064315787338,3.10347266980708,2.6132582912155
chn,VNC,5.93196659141674,5.86648875000285,5.90799973066796,5.77632227591204,5.82228817458354,5.97225476386707,5.90379197165035,5.94412809311809,5.88173362697267,5.91090185426845,5.7702535621735,5.73174615031967,5.78886468481691,5.54341757668276,5.6480394211474,5.70356635285522,5.68862559009199,5.68525277864082,5.76871957755676,5.76579611855255
pnr,VNC,4.96832157572922,4.68624679260555,4.89900457973587,4.93604806487137,4.70645185531523,4.83694213778762,4.9199323832487,4.97889747024475,5.14932593318162,5.36407633894389,4.9995210999409,4.2805000457818,4.56412846479645,3.94169688058623,4.2344887299669,4.50964554703645,4.53440169774602,4.75479014243014,4.63130606213421,4.34199334871265
HLH4C,VNC,5.6547964720072,5.38306763747813,5.6183593854645,5.47599098088418,5.27396068453855,5.74917705448853,5.51718560816903,5.69234615045295,5.82510718733235,5.41417161568547,5.3557016598201,4.72744129167739,4.88402352394404,4.78910699395296,5.16659915848548,5.29628177145187,5.39953468811386,5.23847994165623,4.78076413713915,5.15786828117545
NfI,VNC,3.99587576718573,4.10003215080174,4.11141668984725,3.9192750500685,3.98051972421712,3.97882618721686,3.8653255309576,4.04564302702528,3.9096834963426,4.07083839251159,3.67720220029354,3.31324576370078,3.48613994803149,3.50627164700112,3.67032940992925,3.84993537122184,3.96468875844903,3.25168997900972,3.29594750115962,3.26906940646291
Ets65A,VNC,5.88614904240218,5.94954179906044,5.76021061242164,5.64406577309386,5.76235567761457,5.77733878700118,5.65091165598418,5.84310379087881,5.82643041176661,5.57204183026766,5.31195070066313,4.98079183265478,5.40545484232315,5.44374594179226,5.41259004701411,5.49508764251406,5.49627995243649,5.48192595892463,5.30793187221873,5.20522866865213
E5,VNC,5.94876983448459,5.85496086662405,5.9915073897559,5.97642915868616,6.06706100893917,6.0037452641826,5.94339317417693,6.01909102831012,6.10706943475511,5.89340550350276,5.74881515827489,5.634778423698,5.94849711948882,5.72376742729413,5.74098304717169,5.60089589680837,5.80349243303726,5.500541027718,5.79782883598746,5.56141356345342
zfh1,VNC,7.41107764524333,7.41666797302918,7.3656983354125,7.32615517913364,7.3795901846392,7.35175889333331,7.3620739753682,7.45827903635166,7.41234174523697,7.32662742994029,7.27583179050767,7.19507753941007,7.26081926930519,7.21420952660368,7.14518927477339,7.1758988387586,7.2452985808271,7.13408276379801,7.36971553824519,7.23682185236564
Eip74EF,VNC,5.87596036476576,6.09946016363222,6.05171936950373,6.02986023215202,6.00366486981657,5.87009216053752,5.93118542311842,5.99626302638979,5.93650984501745,5.89843577572828,5.54965403329162,5.72512321678283,5.50220257733115,5.79999721917957,5.6405189153064,5.82792695035188,5.61769893759592,5.50972020908428,5.80497565283691,5.7457920582194
