gene_names,Hox_3,Hox_7,Hox_8,Hox_10,Hox_9,Hox_4,Hox_5,Hox_6,Hox_1,Hox_2,No_hox_9,No_hox_5,No_hox_2,No_hox_3,No_hox_8,No_hox_4,No_hox_6,No_hox_10,No_hox_1,No_hox_7
CG11617,3.1187763087545672,3.0818075473952664,3.0886315463260043,2.96977955561077,3.295446504163684,3.1516807346524858,3.3429922357870634,3.34984356114393,3.160436534823023,3.2252620329079136,2.429249120883646,1.669585068090168,2.619201503201172,2.6629951647124708,2.295814890563144,2.2660653884901047,3.165813174509963,2.641505710706025,2.2662401513553325,2.4907285987434427
lmd,3.5507070464484896,3.5208824615913143,3.655959568964448,3.1589509403433538,3.3608365378125233,3.1319523039422528,3.505838684937478,3.536851279724895,3.3356651250978855,3.4332289287764577,2.865656037251377,2.0102182105663817,2.8885003806674456,2.9330887046217575,3.0491870147224454,2.46824686789095,2.8270538523888415,3.2147172743827284,2.6365265652111556,2.9291707713132094
TC000916,5.412700920099461,5.505134287229317,5.362526970327269,5.438366921655339,5.290429953964157,5.303344489984916,5.461102171423446,5.276796864658661,5.379313243279161,5.346825088810422,4.829946592336515,4.606461087706783,4.568876467462861,4.814423738520966,4.905185141559203,4.9363588845020745,5.046095751850666,5.099433356282359,5.0941039797782555,4.913057887384981
Dr,5.958028024376271,6.09215757583888,5.907554710380262,5.960714921103479,6.0702522483990755,6.043973205444994,6.055571392986029,6.002548635941536,6.063870934459435,6.057678672216769,5.606461153138258,5.607740393101234,5.492116307948009,5.447652179441317,5.498852670056672,5.465854772754082,5.459128192499021,5.654531439886474,5.693817506016114,5.688546278664223
TC005342,6.536659818663761,6.56717764203895,6.588510994889713,6.61279771912036,6.703041512949691,6.582071187999729,6.73410225585799,6.639405948399308,6.725973336476678,6.614643095787908,6.309134107397911,6.16804261943184,6.178815286045845,6.119268060776034,6.36196046447704,5.993123999005173,6.026556247821638,6.180575121420638,5.7572356430730425,6.100356394280122
TC006788,5.514254842656684,5.4823267079098725,5.403161385573483,5.5652078242931715,5.523090177343298,5.445023751081177,5.5064616347454995,5.6461371642482066,5.727488699557897,5.566024643680484,5.11562993169675,4.886234690766619,5.211605365387834,4.917166207635705,5.191013479052005,5.120068162139271,5.046095751850666,5.258380484691678,4.691700579498526,5.194816719609621
org-1,4.754822130936293,4.580816782778238,4.573584784404822,4.502934698515196,4.810069216130928,4.535188742295642,4.4122649729903225,4.650927381148968,4.626563471770668,4.548692856133257,4.1447546327494384,3.736351097788164,3.6123624567877597,3.145528703770794,4.078577972609303,4.007491236181009,3.837644871548911,4.286186714028439,3.6862219832083265,4.390794131395513
HGTX,5.578423144675959,5.437102485753199,5.342687161212777,5.333053813807708,5.526725268098179,5.493138640747966,5.508307684015908,5.3981002582099595,5.432040882162693,5.342553723615424,5.2865320241517235,4.7467916832040284,4.785526704699892,4.995392398011255,5.1785051546485485,5.025355365423171,5.13013129514788,5.302605972733443,4.967106549583764,4.913057887384981
vnd,5.955595311344327,5.904212773896185,6.141235929672363,5.865662514892454,6.003829174439083,6.062220125843728,5.9463143377479115,6.057834185464413,6.06492056721057,5.955249153509261,5.889410762252998,5.336952692968805,5.526462843164013,5.539081902634734,5.711991270174672,5.561610925041745,5.459128192499021,5.834999868810503,5.5280360773099,5.634667068025983
E5,6.0043200703508415,5.888967873120469,5.817564577684222,6.0507038868221725,5.921738381749372,6.041804453915649,5.9756351588946055,6.072490783134661,5.94939238417662,6.0732595975461034,5.621557707786373,5.599801577831523,5.947363225597697,5.876926717280267,5.8170211229013224,5.380057589350101,5.602950128029685,5.6696305876798245,5.8547389484929395,5.634667068025983
