gene_symbol,Hox_1,Hox_10,Hox_9,Hox_12,Hox_6,Hox_14,Hox_3,Hox_15,Hox_5,Hox_7,Hox_2,Hox_11,Hox_8,Hox_4,Hox_13,No_hox_5,No_hox_9,No_hox_13,No_hox_7,No_hox_11,No_hox_12,No_hox_1,No_hox_14,No_hox_2,No_hox_10,No_hox_3,No_hox_6,No_hox_8,No_hox_4,No_hox_15
CrebA,6.011108852963562,5.8407480033591614,5.775740386790205,5.749833034592785,5.766906466701365,5.910439473058024,6.065530721204011,5.827153927045878,5.671335494201433,5.835397752181699,5.71979487303982,5.57508124716431,6.007672888123388,5.814267096314044,5.582373966621825,5.1179539597966395,5.490985599789486,5.090110650935988,5.143738592789459,4.635183249622924,5.437000322593667,5.251524452090482,5.258908339688955,5.734299024758878,5.75816323899394,5.2667870669563825,5.008925324977641,5.0165334066731635,5.940059451098483,5.159236918200255
pnr,3.2285473284836086,2.7290317909091186,3.5451995759951727,3.0748426282904573,3.0568735895113397,3.224513997492807,3.188879606493972,3.3509612617933753,3.2842273265848245,2.572872303183025,2.807405365738789,3.424093330463803,3.492364314404025,3.067430506228675,2.9546273443043622,2.612267992907789,1.8636583826684936,2.081655565212725,1.0009111030700617,0.0,2.2483712298257514,2.6867167408612134,1.492079711697306,0.9807537485145504,2.684764152404468,2.026988417836464,1.7847556877254194,1.8291560564044707,2.081655565212725,2.105310314829363
su(Hw),5.11595719334941,4.987481495759591,5.04542483017147,5.063497259087877,5.000281402623938,5.101338063505173,4.982243757004066,5.092151403515806,4.999101715965506,5.023909573855156,4.969706709422376,4.945275403628,4.946063405065366,5.155768685910615,5.075522150175087,5.027552329748919,4.824078274427151,4.900350856522067,4.841154541859223,4.490992528614477,4.740825917955181,4.900917346238647,4.933418124385652,4.924715371967456,4.898837516185603,4.7278322942629,4.787449900618952,4.893791105132184,4.987830122110173,4.756640732168923
wnd,4.012014115510589,4.044436699340874,4.057873341267274,4.212535379611641,4.077010566203318,4.256322907931847,4.2176830487911685,3.9846433807332446,4.119205408591074,4.041404564147065,3.8769590529431617,4.231113532693781,4.28823552729824,4.204878400358475,4.243767264939156,3.660731625229942,3.982612735040997,3.369738610910045,3.9631492532790125,3.5223090540521484,4.041596657491099,3.778733535410111,3.964520479721284,3.8641140662837072,3.6952936136723573,4.178442213762313,3.663876595831872,3.4772866532621496,3.7221197700336104,3.6597251551861385
srp,3.415687909048726,3.6682037617410734,3.5781385691733423,3.8717858851215237,3.6265339844002313,3.786676491470921,3.212566395718777,3.534141712643334,3.6552258186020388,3.4514688248395218,3.375913752850828,3.348277679176944,3.654726046611138,3.2149103299890447,3.393136867406142,2.8471440581687224,2.1117926066589976,2.8207773110508603,2.992143617599724,3.079856544835489,3.5521767608954997,2.4214822184580496,3.5684992050853372,2.3977854461905106,2.8941662639738066,3.1809316197361497,3.250010884530941,2.4386232112638653,2.5863367515863978,2.7356199962316228
E2f2,6.8192583726566305,6.824741045709547,6.8173041496304725,6.860249980666281,6.822602828201039,6.834423522616717,6.847299320782514,6.890516053213537,6.808189159694703,6.785728982888244,6.8041406674128755,6.868305984811045,6.8102346804018286,6.818226439404191,6.8116636022051225,6.724758693461516,6.69131635634602,6.761782252268419,6.696734212807726,6.7311728351489934,6.836536359244625,6.720033084847047,6.804854047585444,6.724512737182077,6.772160979273949,6.713261139768453,6.741920880157616,6.72215910515589,6.7515795393320195,6.755708818520994
Hand,3.026516238275083,3.8488078347713444,1.827934527684648,2.374880112671806,2.0481651011917954,1.8202087481497158,3.2583204491761073,3.758143420947565,2.5640180764957248,3.864607894762352,3.5721507011071996,3.800013419258204,3.7269845536081463,4.008458352262222,2.824165605473985,1.0311452119780684,1.5328851508607597,1.0132115965872366,1.0009111030700617,1.8227444895711185,0.9911974475388808,2.0594548394887804,2.0659339740515157,0.0,2.0576268653249645,2.026988417836464,0.9755810209650113,1.500906126081865,1.506045659624635,1.857428233106769
slp2,5.644315917565454,5.68331923779612,5.485490075861995,5.6025789212914034,5.418582757183166,5.697658938956381,5.530306816966688,5.4717409511499895,5.5808787127798,5.698428200668955,5.592924174493594,5.711850692824539,5.573824998530506,5.55381549737567,5.625604894342867,5.322439718807971,5.265125410625694,5.387013385118028,5.444933095464707,5.396623327485193,5.360387422438527,5.453685524429021,5.392909768581116,5.111867706238837,5.135665872344192,5.316545740566097,5.517076144156027,5.233713381443278,5.471633700254788,5.397684446049939
CG10654,4.276627809096657,4.49860026605305,4.4233623795510715,4.425874850395866,4.13269555167575,4.40727968602095,4.109194872996928,4.354847984304735,4.265701180145592,4.283141482520381,4.410294472679567,4.6289897431656275,4.372109444214956,4.361746183464624,4.3476914078336035,4.073066711898781,4.248479295856374,3.8035648930482915,3.995325882519521,4.091116528564539,3.7695713825381985,4.080150909495146,3.9966979494701453,3.6719545974852474,4.134307805538615,4.04349184533553,4.206308055541679,3.7572159716972915,4.075778057012656,4.008648255225032
corto,6.3212703988670365,6.261883525940618,6.317937937906856,6.316924084050031,6.355454632217714,6.273603857519512,6.1969133131283645,6.345559758560324,6.317446073539737,6.277389865041681,6.295969450499584,6.2853032497720065,6.35659714988599,6.227201812812486,6.30629516954721,6.0262984560795,6.09592695413142,6.113437169320727,6.161647916154625,6.1594814635874515,6.23974280338305,6.245791692883651,6.079844231408996,6.158269864099531,6.23370310201317,6.195212998862528,6.164003426121271,5.978607151744231,6.3037696838551165,6.088565535239554
cbt,4.218871448489475,4.012578825122964,4.248974268809799,4.286192125189934,4.114476264302385,4.088142011923993,4.029724641378799,4.114509755718375,4.119205408591074,4.081117908792924,4.183174910346379,4.263171457939539,3.9729367878467805,4.221719876293835,4.108674715403529,3.56335121467708,3.666914022845705,3.5859786622900534,3.9631492532790125,4.031536395714298,3.980209168101809,3.6087233910719765,3.746109993350587,3.378607834638737,3.7368176854693673,4.04349184533553,3.7835168872148044,3.7572159716972915,3.9489055183703057,3.33349611193405
D1,8.240532836819806,8.232196679175894,8.247217026695411,8.210691715746082,8.254518125293965,8.236638320872919,8.26578726472807,8.26945581780434,8.234011069031165,8.243294694472322,8.24998517822615,8.238982544644443,8.241308229496758,8.239640891192735,8.247109246104177,8.212604963508687,8.193675040168944,8.201099913926864,8.214397503986806,8.203084976209924,8.198533450357319,8.187187886078965,8.196034943511599,8.215787124944848,8.19832833145127,8.177584029162118,8.21647000048386,8.178970188095809,8.18753098735336,8.204697815261945
eve,4.052947889618574,3.7556259006974204,4.490626463121924,4.133018845737087,4.30628774754721,3.799623373411907,4.330963143162768,4.160287043505097,3.867232548364729,4.061458367234011,4.041742490712298,3.94012707614125,4.086196036626745,4.187748423392466,4.069339749263591,3.7494649266055537,3.6194008035942344,3.241109273213677,4.14229858820174,3.5223090540521484,3.336173204291368,2.5628674926867157,2.903159917700574,3.898481624158831,3.606684770980155,3.1809316197361497,3.250010884530941,2.913912456917283,3.307490706146153,4.008648255225032
