gene_symbol,Hox_6,Hox_3,Hox_1,Hox_4,Hox_2,Hox_10,Hox_5,Hox_9,Hox_7,Hox_8,No_hox_4,No_hox_2,No_hox_6,No_hox_10,No_hox_9,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_3
hth,8.617231726671008,8.68701029811508,8.664087675283833,8.652206391121595,8.66736482274266,8.644528596113105,8.646168955906564,8.631178879351644,8.668160579231746,8.616013459632791,8.4755817128197,8.580646272873098,8.58264652605028,8.604248825969261,8.599431562298872,8.500682211247277,8.579914450650406,8.580555678447505,8.576727636017322,8.583825397031514
hkb,6.4104730490137944,6.514094345676824,6.581497685470264,6.590130720469877,6.557040966853438,6.472865406554334,6.542174732132808,6.566319238540561,6.554434855187615,6.51629684493716,5.844641385427435,6.2688297595625935,5.991026513903182,6.322146574084603,6.230196087215395,5.861811646217969,6.21132749047959,6.209447333622509,6.151788308799661,6.103925326052665
trh,3.8804263545206577,4.03361731432236,3.870617588259427,4.271939088369814,3.9747459932705964,3.942704177993795,4.081224917058608,4.010982582217244,4.133877602748191,3.9087147796195874,3.2327789819609825,3.2420753058681333,3.3839660210362412,3.2947404741420594,3.806614374447945,2.2648374625611907,3.1649139295942863,3.681462532242134,3.223539766186175,3.0955662355971896
Kr,6.589419197682063,6.628504801581588,6.541824261715789,6.638286891758121,6.637664025976337,6.61416112120821,6.594486302764415,6.62326567718436,6.569314734445087,6.639284065081382,6.452206932562111,6.49159435023193,6.553159665652364,6.506240325304577,6.55564908867149,6.455411693481327,6.547226256415046,6.533182209006365,6.490793407274552,6.5060212630230705
sob,3.969601561381089,4.337001324845173,4.10386986586613,4.056297172944298,3.9529448814021797,4.087674472838827,3.8744571550158047,3.9794848189006786,3.879102031749482,4.170882435384438,2.9119626384989434,3.370709388432097,3.9371455114680955,3.4155319970730385,3.6818068692215955,2.6951199577136644,3.5309819542153575,3.7229721742834663,3.46596729452946,3.5881263017454748
vvl,7.4739456336462835,7.592586731818629,7.46564601071782,7.583843560715152,7.554672500893011,7.5367166885665515,7.487712894090496,7.488810529359995,7.680046750193815,7.500868553386843,7.294673519133415,7.0002135154300635,7.07387726987032,7.4592372951700625,7.03694329904843,7.314914497900254,7.184306154368743,7.313470755067497,7.202610264492352,7.237107073004342
EndoB,3.4852293596811976,3.9155163220994127,3.7159607260498353,3.6544682406073443,3.583956009245028,3.732680529769322,3.629058226279053,3.512161670314856,3.8167451210889816,3.704812284819988,3.08518140388663,3.308459263609472,3.126082642622581,3.4155319970730385,3.372750385848523,3.2917053032108896,3.4785398646975723,3.4956956270215307,3.352081999035563,2.922253850745517
CG7903,5.78792819831388,5.900548836110072,5.86890943247683,5.85200493123597,5.891820774179528,5.865353436720323,5.766607826231238,5.843643675789697,5.88816507395778,5.858826741883937,5.638443894684335,5.641877366485118,5.61975017474149,5.64006305736228,5.799407164912417,5.673162404803984,5.690113369554183,5.738619764495628,5.584569339891657,5.611442088005269
bap,3.8686988316195485,3.4253598882102247,4.10386986586613,4.105217891873587,3.351774883495798,3.837022414392859,4.593160123629706,3.8425232420851323,3.854623868057816,4.116194402771479,2.578321336790542,2.0825355735624065,1.7962831681174567,1.0047999866175545,1.0151993004335698,0.0,2.9151354632590842,1.7997942190313938,2.0656638805447316,2.2815209884093672
Wnt4,6.376468068933593,6.363433913273065,6.360286331316122,6.4024998399226725,6.403126939283138,6.340188273463841,6.449020261966851,6.498229184524443,6.4037081614040465,6.346262547785203,6.161388398889898,6.171044348508187,6.156727706416408,6.138317296325756,6.068839349052977,5.886075329082392,6.112007863179707,6.032250912572665,6.304585651608695,6.099989378082302
